State,Total_population,Median_Age,Male_Pct,Female_Pct,White_Pct,Black_Pct,Median_Income,BA_or_Higher_Population,BA_Pct,Political_Orientation,Biden_pct,Trump_pct,News,Car,Department_Store,Grocery_Store,Pain_Reliever,log_population,log_median_income,B_politics
Alabama,4893186,39.2,48.3,51.7,67.5,26.6,1888504,913372,18.67,Republicans,36.57,62.03,Fox News,Chevrolet,Belk,Sam's Club,Aspirin,15.403354183037424,14.45129553921554,0
Alaska,736990,34.6,52.2,47.8,63.4,3.2,255173,149266,20.25,Republicans,42.77,52.83,Fox News,Subaru,H&M,Sam's Club,Aspirin,13.51032960255839,12.449697025482582,0
Arizona,7174064,37.9,49.7,50.3,73.8,4.5,2643430,1531395,21.35,Democrats,49.36,49.06,Fox News,Chevrolet,H&M,Sam's Club,Aspirin,15.785982858138558,14.787587874261645,1
Arkansas,3011873,38.3,49.1,50.9,75.4,15.2,1170544,507292,16.84,Republicans,34.78,62.4,Fox News,Chevrolet,Belk,Sam's Club,Aspirin,14.918072702338332,13.972979155979761,0
California,39346023,36.7,49.7,50.3,56.1,5.7,13103114,9683841,24.61,Democrats,63.48,34.32,CNN,Subaru,H&M,TraderJoe's,Advil,17.487905460375693,16.388360469846518,1
Colorado,5684926,36.9,50.3,49.7,81.5,4.1,2137402,1691979,29.76,Democrats,55.4,41.9,CNN,Subaru,H&M,Sam's Club,Aspirin,15.553328668371414,14.575101630788787,1
Connecticut,3570549,41.1,48.8,51.2,74.2,10.7,1385437,1054367,29.53,Democrats,59.24,39.21,CNN,Subaru,H&M,TraderJoe's,Advil,15.088229923445262,14.14152617130222,1
Delaware,967679,41.0,48.3,51.7,67.4,22.0,370953,230181,23.79,Democrats,58.78,39.8,CNN,Subaru,H&M,Sam's Club,Advil,13.78265569969319,12.823830648928277,1
District of Columbia,701974,34.1,47.5,52.5,41.1,45.4,288307,318115,45.32,Democrats,92.15,5.4,CNN,Subaru,H&M,TraderJoe's,Advil,13.461651645285023,12.571781163595347,1
Florida,21216924,42.2,48.9,51.1,71.6,15.9,7931313,4839407,22.81,Republicans,47.86,51.22,CNN,Chevrolet,H&M,Sam's Club,Aspirin,16.870309723055563,15.886329153675698,0
Georgia,10516579,36.9,48.6,51.4,57.2,31.6,3830264,2354148,22.39,Democrats,49.5,49.26,Fox News,Chevrolet,Belk,Sam's Club,Aspirin,16.168463522274,15.158444288285216,1
Hawaii,1420074,39.4,50.2,49.8,24.1,1.9,467932,345387,24.32,Democrats,63.73,34.27,CNN,Subaru,H&M,Sam's Club,Aspirin,14.166219540895682,13.056078265197542,1
Idaho,1754367,36.6,50.1,49.9,88.4,0.7,649299,341158,19.45,Republicans,33.07,63.84,Fox News,Subaru,H&M,Sam's Club,Aspirin,14.377618666059387,13.383648598375263,0
Illinois,12716164,38.3,49.1,50.9,69.8,14.1,4884061,3254582,25.59,Democrats,57.54,40.55,CNN,Chevrolet,H&M,Sam's Club,Aspirin,16.358384498067128,15.401487603897225,1
Indiana,6696893,37.8,49.3,50.7,82.3,9.4,2602770,1283017,19.16,Republicans,40.96,57.02,Fox News,Chevrolet,H&M,Sam's Club,Aspirin,15.717154245461279,14.77208682048767,0
Iowa,3150011,38.3,49.7,50.3,89.1,3.7,1273941,654284,20.77,Republicans,44.89,53.09,,Chevrolet,H&M,Sam's Club,Aspirin,14.96291650285921,14.057625803209842,0
Kansas,2912619,36.9,49.8,50.2,83.0,5.7,1141985,681951,23.41,Republicans,41.56,56.21,Fox News,Chevrolet,H&M,Sam's Club,Aspirin,14.88456323439051,13.948278534260691,0
Kentucky,4461952,39.0,49.2,50.8,86.2,8.1,1748053,799013,17.91,Republicans,36.15,62.09,Fox News,Chevrolet,Belk,Sam's Club,Aspirin,15.311096896408909,14.374013155104098,0
Louisiana,4664616,37.2,48.8,51.2,61.2,32.2,1751956,816602,17.51,Republicans,39.85,58.46,Fox News,Chevrolet,Belk,Sam's Club,Aspirin,15.355516073762967,14.376243436007856,0
Maine,1340825,44.8,49.0,51.0,93.7,1.4,569551,332499,24.8,Democrats,53.09,44.02,CNN,Subaru,H&M,Sam's Club,Aspirin,14.108795654120854,13.252603610098618,1
Maryland,6037624,38.8,48.5,51.5,54.2,29.9,2230527,1781064,29.5,Democrats,65.36,32.15,CNN,Subaru,H&M,Sam's Club,Aspirin,15.613521115034334,14.617748438386405,1
Massachusetts,6873003,39.6,48.5,51.5,76.6,7.5,2646980,2276693,33.13,Democrats,65.6,32.14,CNN,Subaru,H&M,TraderJoe's,Advil,15.743111686594263,14.788929925457234,1
Michigan,9973907,39.8,49.2,50.8,77.6,13.6,3980408,2164374,21.7,Democrats,50.62,47.84,Fox News,Chevrolet,H&M,Sam's Club,Aspirin,16.1154829408017,15.196894884569382,1
Minnesota,5600166,38.1,49.8,50.2,81.6,6.4,2207988,1471315,26.27,Democrats,52.4,45.28,CNN,Subaru,H&M,Sam's Club,Aspirin,15.53830679812318,14.607592251581746,1
Mississippi,2981835,37.7,48.4,51.6,58.0,37.7,1116649,471439,15.81,Republicans,41.06,57.6,Fox News,Chevrolet,Belk,Sam's Club,Aspirin,14.908049440783998,13.925842794112466,0
Missouri,6124160,38.7,49.1,50.9,81.3,11.4,2440212,1313051,21.44,Republicans,41.41,56.8,Fox News,Chevrolet,H&M,Sam's Club,Aspirin,15.62775216213298,14.707595478740982,0
Montana,1061705,40.1,50.3,49.7,87.8,0.6,436048,253509,23.88,Republicans,40.55,56.92,Fox News,Subaru,H&M,Sam's Club,Aspirin,13.875386664418851,12.98550760801464,0
Nebraska,1923826,36.6,49.9,50.1,85.3,4.8,766663,433027,22.51,Republicans,39.36,58.51,Fox News,Subaru,H&M,Sam's Club,Aspirin,14.469826469527717,13.549802609611136,0
Nevada,3030281,38.2,50.2,49.8,62.1,9.3,1130011,548719,18.11,Democrats,50.06,47.67,Fox News,Subaru,H&M,Sam's Club,Aspirin,14.92416591245946,13.937737925154417,1
New Hampshire,1355244,43.0,49.6,50.4,92.0,1.6,539116,382550,28.23,Democrats,52.71,45.36,CNN,Subaru,H&M,Sam's Club,Advil,14.119492069885336,13.197686040094132,1
New Jersey,8885418,40.0,48.9,51.1,65.5,13.4,3272054,2648548,29.81,Democrats,57.33,41.4,CNN,Subaru,H&M,Sam's Club,Advil,15.999922064046723,15.000928480236073,1
New Mexico,2097021,38.1,49.5,50.5,70.0,2.1,792755,411797,19.64,Democrats,54.29,43.5,CNN,Subaru,H&M,Sam's Club,Aspirin,14.556028324140065,13.583269499539329,1
New York,19514849,39.0,48.5,51.5,62.3,15.4,7417224,5429460,27.82,Democrats,60.86,37.75,CNN,Subaru,H&M,TraderJoe's,Advil,16.7866862209292,15.819315421152504,1
North Carolina,10386227,38.9,48.6,51.4,67.6,21.4,4031592,2379148,22.91,Republicans,48.59,49.93,Fox News,Chevrolet,Belk,Sam's Club,Aspirin,16.155991159492636,15.209671893137049,0
North Dakota,760394,35.2,51.2,48.8,85.7,3.2,320873,164637,21.65,Republicans,31.76,65.11,Fox News,Chevrolet,H&M,Sam's Club,Aspirin,13.541591998981378,12.678800685197258,0
Ohio,11675275,39.5,49.0,51.0,80.5,12.4,4717226,2428389,20.8,Republicans,45.24,53.27,Fox News,Chevrolet,H&M,Sam's Club,Aspirin,16.272983915845685,15.366731472927018,0
Oklahoma,3949342,36.7,49.5,50.5,71.1,7.3,1493569,712630,18.04,Republicans,32.29,65.37,Fox News,Chevrolet,H&M,Sam's Club,Aspirin,15.189059540722456,14.216679115771976,0
Oregon,4176346,39.5,49.6,50.4,82.6,1.9,1642579,1050873,25.16,Democrats,56.45,40.37,CNN,Subaru,H&M,TraderJoe's,Aspirin,15.244947259518506,14.31177812559674,1
Pennsylvania,12794885,40.9,49.0,51.0,79.4,11.1,5106601,3061350,23.93,Democrats,50.01,48.84,CNN,Subaru,H&M,Sam's Club,Aspirin,16.36455603964974,15.4460445745181,1
Rhode Island,1057798,40.0,48.6,51.4,79.0,6.5,414730,274031,25.91,Democrats,59.39,38.61,CNN,Subaru,H&M,TraderJoe's,Advil,13.871699946895648,12.935382985069609,1
South Carolina,5091517,39.7,48.5,51.5,66.5,26.4,1961481,1064137,20.9,Republicans,43.43,55.11,Fox News,Chevrolet,Belk,Sam's Club,Aspirin,15.443086379486447,14.48921035812039,0
South Dakota,879336,37.2,50.4,49.6,83.6,2.1,347878,179784,20.45,Republicans,35.61,61.77,Fox News,Subaru,H&M,Sam's Club,Aspirin,13.686922356187145,12.759607122578288,0
Tennessee,6772268,38.8,48.8,51.2,76.7,16.7,2639455,1374381,20.29,Republicans,37.45,60.66,Fox News,Chevrolet,Belk,Sam's Club,Aspirin,15.728346596171537,14.786083014417015,0
Texas,28635442,34.8,49.7,50.3,69.2,12.1,9906070,5934523,20.72,Republicans,46.48,52.06,Fox News,Chevrolet,H&M,Sam's Club,Aspirin,17.170155739346633,16.108658258529744,0
Utah,3151239,31.1,50.4,49.6,85.1,1.2,1003345,673051,21.36,Republicans,37.65,58.13,Fox News,Subaru,H&M,Sam's Club,Aspirin,14.963306266799872,13.818849975896322,0
Vermont,624340,42.8,49.4,50.6,93.6,1.3,262852,183477,29.39,Democrats,66.09,30.67,CNN,Subaru,H&M,TraderJoe's,Advil,13.3444503707577,12.479346415121062,1
Virginia,8509358,38.4,49.2,50.8,66.3,19.0,3184121,2416427,28.4,Democrats,54.11,44.0,CNN,Chevrolet,Belk,Sam's Club,Aspirin,15.956677057045718,14.973686827736897,1
Washington,7512465,37.8,50.0,50.0,73.5,3.9,2905822,1988014,26.46,Democrats,57.97,38.77,CNN,Subaru,H&M,TraderJoe's,Aspirin,15.832074198912917,14.882226868655483,1
West Virginia,1807426,42.7,49.4,50.6,92.5,3.6,734235,287556,15.91,Republicans,29.7,68.63,Fox News,Subaru,Belk,Sam's Club,Aspirin,14.407414291651383,13.506584419842998,0
Wisconsin,5806975,39.6,49.8,50.2,84.3,6.3,2377935,1293188,22.27,Democrats,49.45,48.82,Fox News,Subaru,H&M,Sam's Club,Aspirin,15.574570339195962,14.681743021965257,1
Wyoming,581348,38.0,51.0,49.0,90.3,0.9,233231,115033,19.79,Republicans,26.55,69.94,Fox News,Subaru,H&M,Sam's Club,Aspirin,13.273104823822496,12.359784657728284,0
